znamka,ime,letnik,kilometrina,motor,velikost motorja,menjalnik,cena,cas
Audi,A4,2015,165000,diesel motor,1968,ročni menjalnik,14999,"(23, 1)"
Chevrolet,Spark,2006,80000,bencinski motor,796,ročni menjalnik,1390,"(23, 1)"
Renault,Grand Scenic,2015,126718,diesel motor,1461,avtomatski menjalnik,10590,"(23, 1)"
Nissan,Qashqai,2007,232470,diesel motor,1461,ročni menjalnik,4889,"(23, 1)"
Nissan,Terrano,2001,170000,diesel motor,2664,ročni menjalnik,2490,"(23, 1)"
Audi,60,1968,80000,bencinski motor,1500,ročni menjalnik,1120,"(23, 1)"
Audi,A6,2014,149000,diesel motor,1968,avtomatski menjalnik,19990,"(23, 1)"
Ford,Fiesta,2009,121647,bencinski motor,1388,ročni menjalnik,5450,"(23, 1)"
Volkswagen,Passat,2008,238248,diesel motor,1968,avtomatski menjalnik,4699,"(23, 1)"
Audi,Allroad,2013,196000,diesel motor,2967,avtomatski menjalnik,29990,"(23, 1)"
Volkswagen,Sharan,1996,222222,diesel motor,1896,ročni menjalnik,723,"(23, 1)"
BMW,Serija X3,2007,108000,diesel motor,2993,avtomatski menjalnik,11100,"(23, 1)"
Renault,Megane,2007,177000,bencinski motor,1598,ročni menjalnik,2090,"(23, 1)"
Volvo,C30,2007,195000,diesel motor,1560,ročni menjalnik,2299,"(23, 1)"
Fiat,Panda,2004,175000,bencinski motor,1108,ročni menjalnik,1490,"(23, 1)"
Škoda,Octavia,2014,116832,diesel motor,1598,ročni menjalnik,11899,"(23, 1)"
Volkswagen,Touran,2012,230000,diesel motor,1598,ročni menjalnik,9090,"(23, 1)"
Renault,Megane,2014,196000,diesel motor,1461,ročni menjalnik,7400,"(23, 1)"
Fiat,Stilo,2007,260000,diesel motor,1910,ročni menjalnik,2590,"(23, 1)"
Mazda,Mazda6,2004,290000,diesel motor,1998,ročni menjalnik,760,"(23, 1)"
Opel,Zafira,2006,240000,bencinski motor + plin,74101,ročni menjalnik,2900,"(23, 1)"
Volkswagen,Golf,2002,322000,diesel motor,1896,ročni menjalnik,1590,"(23, 1)"
BMW,Serija X5,2007,290000,diesel motor,2993,avtomatski menjalnik,11999,"(23, 1)"
Suzuki,SX4,2010,187400,diesel motor,1956,ročni menjalnik,7777,"(23, 1)"
Toyota,RAV4,2008,104731,diesel motor,2231,ročni menjalnik,10490,"(23, 1)"
BMW,Serija 3,2004,343000,diesel motor,1995,ročni menjalnik,2590,"(23, 1)"
Renault,Clio,2014,106989,diesel motor,1461,ročni menjalnik,7200,"(23, 1)"
Opel,Astra,2012,188000,diesel motor,1956,ročni menjalnik,6800,"(23, 1)"
Nissan,Juke,2011,110000,bencinski motor,1618,ročni menjalnik,9100,"(23, 1)"
Mercedes-Benz,CLS-Razred,2005,250000,bencinski motor,3498,avtomatski menjalnik,7780,"(23, 1)"
Hyundai,Coupe,2007,170000,bencinski motor,1599,ročni menjalnik,3790,"(23, 1)"
Renault,Grand Scenic,2008,340000,diesel motor,1870,ročni menjalnik,1650,"(23, 1)"
Mitsubishi,Carisma,2001,300000,bencinski motor,1597,ročni menjalnik,390,"(23, 1)"
Volkswagen,Passat,2006,400000,diesel motor,1968,ročni menjalnik,3500,"(23, 1)"
Alfa Romeo,159,2007,180000,diesel motor,1910,ročni menjalnik,4500,"(23, 1)"
Volkswagen,Polo,2014,119343,diesel motor,1422,ročni menjalnik,8470,"(23, 1)"
Ford,Mondeo,2009,320000,diesel motor,1997,ročni menjalnik,3450,"(23, 1)"
Opel,Astra,2007,92000,bencinski motor,1600,ročni menjalnik,3590,"(23, 1)"
Audi,A6,2006,248000,bencinski motor,3123,avtomatski menjalnik,3500,"(23, 1)"
Peugeot,308,2011,148000,bencinski motor,1598,ročni menjalnik,7290,"(23, 1)"
Volkswagen,Passat,2016,165000,diesel motor,1598,ročni menjalnik,14700,"(23, 1)"
BMW,Serija 3,2003,290000,diesel motor,2993,avtomatski menjalnik,3950,"(23, 1)"
Audi,A6,2015,161000,diesel motor,1968,ročni menjalnik,22500,"(23, 1)"
